0	1.000155	8499432	67984920.2357461	224
1.000155	2.000258	5242880	41938720.444900468	194
2.000258	3.000169	6553600	52433466.040229686	150
3.000169	4.000427	3932160	31449167.092877746	152
4.000427	5.000096	5242880	41956927.096414946	68
5.000096	6.00026	3932160	31452120.846266214	145
6.00026	7.000117	2621440	20974519.178857211	46
7.000117	8.000178	2621440	20970240.078120232	30
8.000178	9.000545	1310720	10481912.662147671	44
9.000545	10.000901	1310720	10482028.828143973	10
10.000901	11.00043	1310720	10490701.077227131	2
11.00043	12.00133	0	0	4
12.00133	13.000238	5242880	41988892.571773976	33
13.000238	14.000244	3932160	31457092.50111758	199
14.000244	15.000541	1310720	10482647.174354635	84
15.000541	16.000643	2621440	20969380.218350064	16
16.000643	17.000063	2621440	20983690.809225116	14
17.000063	18.000261	2621440	20967368.322059758	54
18.000261	19.000069	1310720	10487773.51156716	14
19.000069	20.000853	1310720	10477545.190734927	4
20.000853	21.000268	2621440	20983795.931660488	2
21.000268	22.000211	2621440	20972715.06809742	44
22.000211	23.000078	1310720	10487154.560445806	34
23.000078	24.000154	1310720	10484962.560649671	24
24.000154	25.001043	1310720	10476447.0287069	0
25.001043	26.000892	2621440	20974686.728108067	8
26.000892	27.000437	1310720	10490533.422011353	4
27.000437	28.000494	3932160	31455487.602134489	59
28.000494	29.000305	2621440	20975484.499315459	158
29.000305	30.000337	1310720	10485425.010702267	58
30.000337	31.00029	2621440	20972506.296383612	30
31.00029	32.000495	1310720	10483610.440745583	44
32.000495	33.000322	1310720	10487574.063783472	4
33.000322	34.000646	1310720	10482363.600470295	22
34.000646	35.001194	0	0	6
35.001194	36.00014	1310720	10496823.535844347	8
36.00014	37.001311	0	0	2
37.001311	38.001321	0	0	0
38.001321	39.001435	0	0	2
39.001435	40.000048	1310720	10500323.95020015	0
40.000048	41.001162	0	0	2
41.001162	42.001287	0	0	0
42.001287	43.000194	7864320	62983398.988975339	0
43.000194	44.000075	9175040	73409053.539036751	156
44.000075	45.003277	6553600	52261460.813635081	89
45.003277	46.000109	10485760	84152674.568091273	44
46.000109	47.000384	7864320	62897262.257153124	277
47.000384	48.000624	1310720	10483244.353675371	51
48.000624	49.000269	2621440	20978967.643952809	6
49.000269	50.000035	1310720	10488214.324331123	62
50.000035	51.000441	2621440	20963008.45591535	8
51.000441	52.000881	1310720	10481148.279164029	2
52.000881	53.000738	2621440	20974519.178857211	26
53.000738	54.000071	2621440	20985516.835553039	48
54.000071	55.000344	3932160	31448694.84365559	26
55.000344	56.000465	2621440	20968982.806993831	6
56.000465	57.000117	2621440	20978820.04020898	52
57.000117	58.00022	7864320	62908080.6673507	162
58.00022	59.000105	10485760	83895726.109084159	268
59.000105	60.000139	3932160	31456211.286309171	188
60.000139	61.000082	2621440	20972715.06809742	24
61.000082	62.000206	2621440	20968920.322301961	18
62.000206	63.000443	1310720	10483275.588775815	26
63.000443	64.000701	0	0	30
64.000701	65.000868	1310720	10484009.0424313	4
65.000868	66.001117	0	0	8
66.001117	67.000606	1310720	10491120.8643514	0
67.000606	68.001473	0	0	8
68.001473	69.000513	1310720	10495835.922809409	2
69.000513	70.000972	0	0	6
70.000972	71.000108	1310720	10494827.834871668	8
71.000108	72.000028	0	0	6
72.000028	73.000054	5242880	41941950.028325774	15
73.000054	74.000528	3932160	31442377.06363618	174
74.000528	75.002604	2621440	20928072.697892927	154
75.002604	76.00054	1310720	10507447.262284661	0
76.00054	77.001214	0	0	0
77.001214	78.001111	1310720	10486840.111248031	0
78.001111	79.00033	0	0	0
79.00033	80.00085	1310720	10480310.333776958	11
80.00085	81.00141	0	0	0
81.00141	82.000163	0	0	0
82.000163	83.00055	1310720	10481704.069455927	0
83.00055	84.001433	0	0	0
84.001433	85.000146	1310720	10499272.390223127	0
85.000146	86.001391	0	0	0
86.001391	87.00064	1310720	10493640.918715943	0
87.00064	88.000713	1310720	10484995.055807333	346
88.000713	89.001338	0	0	10
89.001338	90.003774	0	0	4
90.003774	91.001222	1310720	10512587.83891697	10
91.001222	92.001412	0	0	2
92.001412	93.000065	0	0	6
93.000065	94.00145	0	0	2
94.00145	95.001472	0	0	4
95.001472	96.000881	1310720	10491960.5393951	10
96.000881	97.000201	0	0	4
97.000201	98.001417	0	0	0
98.001417	99.001283	0	0	0
99.001283	100.000493	1310720	10494050.29933616	2
100.000493	101.000089	0	0	2
101.000089	102.001323	0	0	2
102.001323	103.000039	1310720	10499241.059724605	269
103.000039	104.000896	1310720	10476781.44458233	36
104.000896	105.00004	0	0	12
105.00004	106.001188	0	0	6
106.001188	107.0009	1310720	10488780.870039703	6
107.0009	108.001369	0	0	4
108.001369	109.001355	0	0	0
109.001355	110.001502	0	0	0
110.001502	111.000154	1310720	10499914.079963712	6
111.000154	112.001454	0	0	2
112.001454	113.000101	0	0	4
113.000101	114.001324	0	0	0
114.001324	115.001339	0	0	2
115.001339	116.00139	0	0	6
116.00139	117.000089	1310720	10499419.646070885	2
117.000089	118.00078	1310720	10478518.754108243	552
118.00078	119.000057	1310720	10493346.735242516	100
119.000057	120.007909	0	0	58
